epoch,accuracy,auc,categorical_crossentropy,kullback_leibler_divergence,loss,top_k_categorical_accuracy
0,0.03830132633447647,0.6850566864013672,6.191910266876221,6.1903510093688965,6.191910266876221,0.16186097264289856
1,0.057181499898433685,0.7154248952865601,5.78021764755249,5.7787065505981445,5.78021764755249,0.19496889412403107
2,0.09899918735027313,0.759384274482727,5.284251689910889,5.2828192710876465,5.284251689910889,0.2583175599575043
3,0.16342981159687042,0.8033047914505005,4.661604881286621,4.660282135009766,4.661604881286621,0.3440627455711365
4,0.22537192702293396,0.8436089158058167,4.065201282501221,4.0639967918396,4.065201282501221,0.43029484152793884
5,0.27833378314971924,0.8785836100578308,3.618267774581909,3.617149829864502,3.618267774581909,0.49618610739707947
6,0.34395456314086914,0.9178640246391296,3.1582553386688232,3.1572306156158447,3.1582553386688232,0.580146074295044
7,0.41439005732536316,0.9433977603912354,2.7263333797454834,2.725391387939453,2.7263333797454834,0.6642142534255981
8,0.49380579590797424,0.9602677226066589,2.310868501663208,2.3100271224975586,2.310868501663208,0.7352988719940186
9,0.5608330965042114,0.97187739610672,1.9867286682128906,1.9859724044799805,1.9867286682128906,0.7924804091453552
