epoch,accuracy,auc,categorical_crossentropy,kullback_leibler_divergence,loss,top_k_categorical_accuracy
0,0.042575061321258545,0.6880547404289246,6.147508144378662,6.145956993103027,6.145956993103027,0.1646740585565567
1,0.07427643984556198,0.7304301857948303,5.572795867919922,5.571287155151367,5.571287155151367,0.21309170126914978
2,0.12366783618927002,0.7756068110466003,5.039648056030273,5.038227558135986,5.038227558135986,0.2869894504547119
3,0.17901000380516052,0.81931072473526,4.465561389923096,4.4642205238342285,4.4642205238342285,0.36948877573013306
4,0.2507438361644745,0.8609544634819031,3.8711721897125244,3.8699328899383545,3.8699328899383545,0.45626184344291687
5,0.3262104392051697,0.90899658203125,3.3155136108398438,3.3143155574798584,3.3143155574798584,0.5487692952156067
6,0.40308359265327454,0.9427212476730347,2.8356521129608154,2.8345863819122314,2.8345863819122314,0.643873393535614
7,0.48725995421409607,0.9613751769065857,2.4090442657470703,2.4082016944885254,2.4082016944885254,0.7264268398284912
8,0.5553151369094849,0.973798394203186,2.0493528842926025,2.048598051071167,2.048598051071167,0.7848525643348694
9,0.6199621558189392,0.9813352227210999,1.748278260231018,1.7476001977920532,1.7476001977920532,0.8354882597923279
0,0.037219367921352386,0.667698860168457,6.290061950683594,6.288430690765381,0.0033362917602062225,0.1543954610824585
1,0.0406816340982914,0.6952332258224487,5.987118244171143,5.985536575317383,0.0031976578757166862,0.16218554973602295
2,0.05366513505578041,0.7183807492256165,5.716164588928223,5.714643478393555,0.0030736459884792566,0.19578036665916443
3,0.0766567513346672,0.748806357383728,5.41561222076416,5.41414213180542,0.0029361092019826174,0.23056532442569733
4,0.11025155335664749,0.7751296162605286,5.094900131225586,5.0934929847717285,0.00278935837559402,0.27195021510124207
5,0.1477414071559906,0.8026145100593567,4.730730056762695,4.729386329650879,0.0026227175258100033,0.32107114791870117
6,0.18820665776729584,0.8299550414085388,4.346528053283691,4.345249652862549,0.002446891041472554,0.3824181854724884
7,0.2372734695672989,0.8573915362358093,3.9486567974090576,3.947443962097168,0.00226480676792562,0.4404652416706085
8,0.28439274430274963,0.8913460373878479,3.5576953887939453,3.556549549102783,0.00208588526584208,0.5037056803703308
9,0.3344874083995819,0.9256238341331482,3.201645612716675,3.200562000274658,0.0019229372264817357,0.566026508808136
